Date,Open,High,Low,Close,Volume
2020-02-13,9657.04,9748.32,9650.02,9711.97,2082521100.0
2020-02-12,9688.602,9728.773,9666.684,9725.962,2190150000.0
2020-02-11,9680.89,9714.74,9617.21,9638.94,2254013100.0
2020-02-10,9493.63,9628.66,9493.63,9628.39,2026758300.0
2020-02-07,9526.65,9570.09,9496.53,9520.51,2081963100.0
2020-02-06,9540.984,9575.656,9505.68,9572.154,2108589000.0
2020-02-05,9574.098,9574.938,9454.93,9508.683,2290097100.0
2020-02-04,9398.391,9485.379,9374.055,9467.974,2274240600.0
2020-02-03,9190.72,9299.85,9188.56,9273.4,2251074300.0
2020-01-31,9324.324,9324.797,9123.223,9150.936,2497831200.0
2020-01-30,9211.148,9303.004,9185.184,9298.934,2170155000.0
2020-01-29,9318.258,9329.113,9249.035,9275.164,2067836400.0
2020-01-28,9201.82,9288.87,9182.33,9269.68,2006781900.0
2020-01-27,9092.47,9185.45,9088.04,9139.31,2402496900.0
2020-01-24,9446.21,9451.43,9273.23,9314.91,2428890300.0
2020-01-23,9377.723,9409.199,9334.129,9402.478,2287846500.0
2020-01-22,9413.613,9439.289,9375.129,9383.768,2277932700.0
2020-01-21,9361.07,9397.58,9350.2,9370.81,2496622200.0
2020-01-17,9392.37,9393.48,9346.81,9388.94,2346083100.0
2020-01-16,9313.45,9357.93,9301.32,9357.13,2140302000.0
2020-01-15,9253.76,9298.82,9231.14,9258.7,2265154500.0
2020-01-14,9270.61,9298.33,9226.49,9251.33,2364218100.0
2020-01-13,9213.72,9274.49,9193.06,9273.93,2353151100.0
2020-01-10,9232.95,9235.2,9164.66,9178.86,2212460700.0
2020-01-09,9202.27,9215.95,9158.5,9203.43,2357271000.0
2020-01-08,9068.03,9168.89,9059.38,9129.24,2291603700.0
2020-01-07,9076.65,9091.93,9042.56,9068.58,2188150500.0
2020-01-06,8943.5,9072.41,8943.5,9071.47,2592951600.0
2020-01-03,8976.43,9065.76,8976.43,9020.77,2387682000.0
2020-01-02,9039.46,9093.43,9010.89,9092.19,2648984100.0
2019-12-31,8918.738,8975.355,8912.773,8972.604,2030004000.0
2019-12-30,9004.45,9006.36,8909.2,8945.99,1899450600.0
2019-12-27,9049.47,9052.0,8987.32,9006.62,1703946000.0
2019-12-26,8970.21,9022.46,8968.46,9022.39,1520475600.0
2019-12-24,8955.02,8957.13,8934.36,8952.88,943503600.0
2019-12-23,8950.2,8956.64,8934.55,8945.65,1883668500.0
2019-12-20,8911.84,8931.91,8901.87,8924.96,3557677800.0
2019-12-19,8838.97,8888.13,8838.97,8887.22,2246833500.0
2019-12-18,8834.65,8848.76,8820.42,8827.73,2536919100.0
2019-12-17,8829.47,8831.99,8804.6,8823.36,2207931600.0
2019-12-16,8791.31,8833.45,8789.77,8814.23,2182049700.0
2019-12-13,8713.91,8768.87,8697.58,8734.88,2035509600.0
2019-12-12,8645.36,8745.82,8633.61,8717.32,2221091100.0
2019-12-11,8631.13,8658.48,8622.36,8654.05,1802200500.0
2019-12-10,8623.56,8650.76,8600.82,8616.18,1909652700.0
2019-12-09,8650.86,8678.85,8619.77,8621.83,1942323600.0
2019-12-06,8634.25,8665.44,8630.57,8656.53,1909782900.0
2019-12-05,8587.93,8588.89,8541.92,8570.7,1974743400.0
2019-12-04,8557.45,8584.88,8552.38,8566.67,2000132400.0
2019-12-03,8460.72,8523.98,8435.4,8520.64,2146998000.0
2019-12-02,8672.85,8672.85,8540.16,8567.99,2070124200.0
2019-11-29,8682.012,8697.324,8664.035,8665.471,1022153700.0
2019-11-27,8669.59,8705.91,8662.58,8705.18,1622459400.0
2019-11-26,8635.4,8659.73,8625.63,8647.93,2264150100.0
2019-11-25,8559.65,8633.15,8559.65,8632.49,2098145100.0
2019-11-22,8530.54,8535.46,8477.49,8519.89,1745693700.0
2019-11-21,8527.88,8530.73,8487.29,8506.21,1912293900.0
2019-11-20,8543.57,8578.27,8468.63,8526.73,2414307900.0
